# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/S.arboricola_H6/predict_misc/genome.softmasked.fa -o s.arboricola_h6_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m genome -c 28 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0926004Z	Fragmented	scaffold_5	331723	334404	492.2	759
EOG09260075	Fragmented	scaffold_5	43178	45363	504.5	466
EOG0926009O	Missing
EOG092600NM	Fragmented	scaffold_12	434638	435810	315.3	282
EOG092600S9	Missing
EOG092600SD	Complete	scaffold_7	486030	491687	1066.1	1216
EOG092600SK	Complete	scaffold_14	271228	277140	1069.0	1208
EOG092600T4	Complete	scaffold_8	633756	640457	3203.4	1834
EOG092600T9	Complete	scaffold_2	177794	184231	3037.6	1741
EOG092600W1	Complete	scaffold_8	135234	141899	2470.2	1674
EOG092600X0	Complete	scaffold_15	187375	194283	1180.5	1034
EOG092600XJ	Complete	scaffold_3	890050	895639	1350.0	1199
EOG092601KZ	Complete	scaffold_6	227222	230497	1307.5	837
EOG092601YK	Complete	scaffold_13	86043	93176	1644.7	1561
EOG0926025H	Complete	scaffold_10	397246	402546	364.1	586
EOG09260274	Complete	scaffold_2	981787	986475	585.6	803
EOG09260289	Complete	scaffold_14	190864	195069	740.1	742
EOG092602BZ	Complete	scaffold_3	101538	106499	2412.2	1443
EOG092602FH	Complete	scaffold_6	212509	217017	1180.8	971
EOG092602I6	Complete	scaffold_6	380565	386081	1860.7	1349
EOG092602MO	Complete	scaffold_8	178410	183182	620.1	840
EOG092602OP	Complete	scaffold_7	415563	419927	970.7	928
EOG092602UY	Complete	scaffold_1	566466	572444	1534.4	1242
EOG09260375	Complete	scaffold_8	419127	423533	1185.5	945
EOG092603D0	Complete	scaffold_7	448398	452372	1507.9	1044
EOG092603EH	Complete	scaffold_1	146112	150944	1256.1	843
EOG092603JK	Complete	scaffold_3	663788	668680	611.2	720
EOG092603KJ	Complete	scaffold_4	884734	888525	1030.3	711
EOG092603SM	Fragmented	scaffold_16	82064	87525	35.5	158
EOG092603YJ	Complete	scaffold_2	943921	949101	1148.2	1352
EOG0926047G	Complete	scaffold_9	657868	662196	1632.9	1132
EOG09260492	Complete	scaffold_3	696787	701142	997.5	1073
EOG0926049A	Missing
EOG0926049S	Complete	scaffold_8	299513	304690	735.1	833
EOG092604A0	Complete	scaffold_1	588887	593245	523.6	773
EOG092604I8	Complete	scaffold_9	663488	668230	763.6	753
EOG092604KQ	Complete	scaffold_1	800761	809765	659.3	812
EOG092604MJ	Missing
EOG092604ML	Complete	scaffold_9	357257	362308	561.8	951
EOG092604S1	Complete	scaffold_4	516746	523224	356.2	428
EOG092604ZZ	Complete	scaffold_2	743464	747477	568.5	745
EOG0926051U	Complete	scaffold_9	195573	200885	752.9	1113
EOG092605FC	Duplicated	scaffold_14	232683	236678	870.9	794
EOG092605FC	Duplicated	scaffold_8	659920	663873	891.8	779
EOG092605KN	Complete	scaffold_14	135050	137914	897.7	713
EOG092605OK	Complete	scaffold_4	906281	911284	1870.1	1273
EOG092605QM	Complete	scaffold_1	503313	508412	793.9	1046
EOG092605T6	Missing
EOG092605VL	Complete	scaffold_8	350198	354066	723.2	874
EOG092605VU	Complete	scaffold_5	276116	282561	216.3	495
EOG092605ZA	Complete	scaffold_14	244493	248797	239.8	498
EOG092606AD	Complete	scaffold_1	1221232	1222548	188.1	294
EOG092606AJ	Complete	scaffold_2	1093540	1097238	951.3	781
EOG092606CY	Missing
EOG092606O3	Complete	scaffold_3	990462	994613	908.9	625
EOG092606UX	Duplicated	scaffold_11	341957	346150	732.5	893
EOG092606UX	Duplicated	scaffold_7	65394	69695	845.3	908
EOG092606WZ	Missing
EOG0926071Q	Complete	scaffold_4	225223	228501	725.2	960
EOG0926073O	Complete	scaffold_8	447913	452196	1410.5	940
EOG0926074Y	Complete	scaffold_2	223071	226553	1436.7	944
EOG09260779	Complete	scaffold_6	861238	865515	932.7	1094
EOG0926077L	Complete	scaffold_1	1013773	1017648	250.4	467
EOG0926079Q	Complete	scaffold_5	628207	631755	1136.9	890
EOG092607OQ	Complete	scaffold_1	167545	173439	583.6	871
