!! Predictions spanning range 2690 - 96168 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 2690-3145 orient(+) score(912.00) noncoding_equivalent(0.09) raw_noncoding(0.00) offset(0.00) 
2690	3145	single+	1	3	{Augustus_gene906.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 6531-8873 orient(-) score(4686.00) noncoding_equivalent(0.47) raw_noncoding(0.00) offset(0.00) 
8873	6531	single-	4	6	{Augustus_gene79.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 24300-25872 orient(+) score(3146.00) noncoding_equivalent(0.31) raw_noncoding(0.00) offset(0.00) 
24300	24361	initial+	1	2	{Augustus_gene395.t1;Augustus}
24362	24437	INTRON			{Augustus_gene395.t1;Augustus}
24438	25872	terminal+	3	3	{Augustus_gene395.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 41639-42187 orient(-) score(1098.00) noncoding_equivalent(0.11) raw_noncoding(0.00) offset(0.00) 
42187	41639	single-	4	6	{Augustus_gene19.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 51035-56857 orient(-) score(11646.00) noncoding_equivalent(1.16) raw_noncoding(0.00) offset(0.00) 
51129	51035	terminal-	5	6	{Augustus_gene94.t1;Augustus}
51404	51130	INTRON			{Augustus_gene94.t1;Augustus}
51421	51405	internal-	6	4	{Augustus_gene94.t1;Augustus}
51912	51422	INTRON			{Augustus_gene94.t1;Augustus}
51972	51913	internal-	6	5	{Augustus_gene94.t1;Augustus}
52349	51973	INTRON			{Augustus_gene94.t1;Augustus}
56857	52350	initial-	4	5	{Augustus_gene94.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 87237-87944 orient(-) score(1416.00) noncoding_equivalent(0.14) raw_noncoding(0.00) offset(0.00) 
87638	87237	terminal-	4	6	{Augustus_gene62.t1;Augustus}
87728	87639	INTRON			{Augustus_gene62.t1;Augustus}
87944	87729	initial-	4	6	{Augustus_gene62.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 88142-90265 orient(+) score(4248.00) noncoding_equivalent(0.42) raw_noncoding(0.00) offset(0.00) 
88142	89587	initial+	1	3	{Augustus_gene817.t1;Augustus}
89588	89809	INTRON			{Augustus_gene817.t1;Augustus}
89810	90265	terminal+	1	3	{Augustus_gene817.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 95554-96168 orient(-) score(1230.00) noncoding_equivalent(0.12) raw_noncoding(0.00) offset(0.00) 
96168	95554	single-	4	6	{Augustus_gene901.t1;Augustus}

