# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/P.pastoris_GS115/predict_misc/genome.softmasked.fa -o p.pastoris_gs115_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m genome -c 28 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0926004Z	Complete	scaffold_1	908450	921687	2604.3	2737
EOG09260075	Complete	scaffold_1	965178	974313	2059.4	2051
EOG0926009O	Missing
EOG092600NM	Missing
EOG092600S9	Missing
EOG092600SD	Complete	scaffold_2	1821274	1827090	898.9	1242
EOG092600SK	Complete	scaffold_4	843539	849475	997.4	1090
EOG092600T4	Complete	scaffold_1	1853491	1860196	3109.1	1814
EOG092600T9	Complete	scaffold_3	1965276	1971485	3102.2	1758
EOG092600W1	Complete	scaffold_1	154035	160655	2472.8	1636
EOG092600X0	Fragmented	scaffold_3	1785490	1787649	581.2	438
EOG092600XJ	Complete	scaffold_2	555270	561179	1280.1	1295
EOG092601KZ	Complete	scaffold_4	787061	790457	1286.4	842
EOG092601YK	Complete	scaffold_4	231393	238799	1385.8	1557
EOG0926025H	Complete	scaffold_1	1923601	1928451	279.1	554
EOG09260274	Complete	scaffold_1	2639704	2644320	530.8	770
EOG09260289	Complete	scaffold_2	1832433	1837148	738.7	771
EOG092602BZ	Complete	scaffold_1	2412412	2417382	2428.5	1443
EOG092602FH	Complete	scaffold_2	1321132	1325619	1108.2	925
EOG092602I6	Complete	scaffold_2	2264024	2269837	1806.5	1284
EOG092602MO	Complete	scaffold_1	313396	318975	568.0	663
EOG092602OP	Complete	scaffold_3	90461	94483	953.0	975
EOG092602UY	Complete	scaffold_1	1956310	1961628	1514.6	1194
EOG09260375	Complete	scaffold_2	1731763	1736091	1123.2	905
EOG092603D0	Complete	scaffold_1	1687273	1691475	1527.8	1079
EOG092603EH	Complete	scaffold_1	552345	556775	1203.9	869
EOG092603JK	Missing
EOG092603KJ	Complete	scaffold_3	1339659	1342697	1006.8	695
EOG092603SM	Missing
EOG092603YJ	Complete	scaffold_3	137836	142920	1076.5	1258
EOG0926047G	Complete	scaffold_3	2093952	2098196	1647.6	1146
EOG09260492	Complete	scaffold_4	613304	617806	914.0	1025
EOG0926049A	Complete	scaffold_3	1811095	1815273	369.2	629
EOG0926049S	Complete	scaffold_1	1443917	1448479	798.3	846
EOG092604A0	Missing
EOG092604I8	Complete	scaffold_1	337444	341790	753.1	757
EOG092604KQ	Fragmented	scaffold_1	345187	348086	243.2	464
EOG092604MJ	Complete	scaffold_2	114744	123380	510.0	962
EOG092604ML	Complete	scaffold_2	1884518	1889458	461.0	905
EOG092604S1	Complete	scaffold_3	238466	242308	344.0	396
EOG092604ZZ	Complete	scaffold_3	1365420	1369298	462.7	712
EOG0926051U	Complete	scaffold_2	2296092	2301491	666.5	931
EOG092605FC	Complete	scaffold_1	1908400	1912917	935.6	820
EOG092605KN	Complete	scaffold_1	786144	789047	927.0	685
EOG092605OK	Complete	scaffold_2	1660528	1665450	1810.7	1236
EOG092605QM	Missing
EOG092605T6	Fragmented	scaffold_1	2468798	2474311	1769.1	1321
EOG092605VL	Complete	scaffold_1	1047573	1052490	579.6	811
EOG092605VU	Complete	scaffold_1	858046	861792	217.5	547
EOG092605ZA	Complete	scaffold_1	945238	949854	210.4	454
EOG092606AD	Complete	scaffold_4	1655107	1660273	130.4	182
EOG092606AJ	Complete	scaffold_4	50308	53898	938.5	790
EOG092606CY	Complete	scaffold_2	145849	149526	949.9	1191
EOG092606O3	Complete	scaffold_2	734985	738857	912.5	662
EOG092606UX	Complete	scaffold_4	322193	326464	785.6	905
EOG092606WZ	Complete	scaffold_1	2338685	2342842	872.0	1099
