# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/S.eubayanus_FM1318/predict_misc/genome.softmasked.fa -o s.eubayanus_fm1318_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m genome -c 28 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0926004Z	Fragmented	scaffold_3	351469	354168	478.2	842
EOG09260075	Fragmented	scaffold_3	57249	58535	583.6	374
EOG0926009O	Missing
EOG092600NM	Fragmented	scaffold_10	628703	630865	858.8	558
EOG092600S9	Missing
EOG092600SD	Complete	scaffold_4	676138	683244	1067.9	1220
EOG092600SK	Complete	scaffold_14	277840	283881	1035.7	1246
EOG092600T4	Complete	scaffold_8	649666	656367	3199.8	1837
EOG092600T9	Complete	scaffold_4	139718	146155	3048.7	1748
EOG092600W1	Complete	scaffold_8	140537	147199	2466.7	1624
EOG092600X0	Complete	scaffold_15	160317	167213	1177.8	1045
EOG092600XJ	Complete	scaffold_2	892770	898355	1350.6	1209
EOG092601KZ	Complete	scaffold_6	227132	230407	1305.0	839
EOG092601YK	Complete	scaffold_13	84382	91468	1645.0	1559
EOG0926025H	Complete	scaffold_11	394871	400168	381.9	595
EOG09260274	Complete	scaffold_5	753655	758334	595.1	732
EOG09260289	Complete	scaffold_14	195796	200010	739.3	799
EOG092602BZ	Complete	scaffold_2	103673	108631	2408.7	1443
EOG092602FH	Complete	scaffold_6	212645	217162	1197.1	990
EOG092602I6	Complete	scaffold_6	378739	384342	1848.4	1346
EOG092602MO	Complete	scaffold_8	183688	188451	616.5	855
EOG092602OP	Complete	scaffold_4	607288	611652	960.3	991
EOG092602UY	Complete	scaffold_1	596476	602457	1540.0	1254
EOG09260375	Complete	scaffold_8	423725	428131	1182.9	972
EOG092603D0	Complete	scaffold_4	640184	644362	1531.8	1060
EOG092603EH	Complete	scaffold_5	166356	171377	1261.1	851
EOG092603JK	Complete	scaffold_2	662838	667724	624.7	743
EOG092603KJ	Complete	scaffold_7	697818	701606	1020.2	700
EOG092603SM	Fragmented	scaffold_2	322597	323985	133.1	249
EOG092603YJ	Complete	scaffold_5	715446	720626	1166.2	1384
EOG0926047G	Complete	scaffold_9	668899	673227	1644.9	1145
EOG09260492	Complete	scaffold_2	695567	699922	999.6	1074
EOG0926049A	Complete	scaffold_7	707993	712084	470.6	674
EOG0926049S	Missing
EOG092604A0	Complete	scaffold_1	618669	623102	518.8	802
EOG092604I8	Complete	scaffold_9	674537	679291	764.1	778
EOG092604KQ	Complete	scaffold_1	835408	839478	728.0	932
EOG092604MJ	Complete	scaffold_8	67384	72306	694.5	1052
EOG092604ML	Complete	scaffold_9	361957	367008	582.6	937
