# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/S.cerevisiae_M3836/predict_misc/genome.softmasked.fa -o s.cerevisiae_m3836_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m genome -c 28 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0926004Z	Fragmented	scaffold_12	333336	336020	485.0	769
EOG09260075	Fragmented	scaffold_12	44263	45096	360.9	251
EOG0926009O	Missing
EOG092600NM	Complete	scaffold_10	85828	93069	3784.9	2033
EOG092600S9	Missing
EOG092600SD	Complete	scaffold_8	274243	279900	1072.9	1211
EOG092600SK	Complete	scaffold_16	273913	279753	1084.5	1066
EOG092600T4	Complete	scaffold_6	547577	554278	3208.9	1832
EOG092600T9	Complete	scaffold_28	64977	71414	3039.5	1741
EOG092600W1	Complete	scaffold_6	46545	53210	2476.7	1693
EOG092600X0	Complete	scaffold_27	6598	13074	1182.8	1063
EOG092600XJ	Complete	scaffold_17	100222	105795	1355.7	1208
EOG092601KZ	Complete	scaffold_3	643138	646410	1311.7	837
EOG092601YK	Complete	scaffold_14	210385	217515	1652.9	1570
EOG0926025H	Complete	scaffold_7	408900	414194	376.4	596
EOG09260274	Complete	scaffold_2	734285	738973	604.6	750
EOG09260289	Complete	scaffold_16	193736	197950	745.7	732
EOG092602BZ	Complete	scaffold_5	685376	690337	2412.1	1443
EOG092602FH	Complete	scaffold_3	656274	660788	1207.5	978
EOG092602I6	Complete	scaffold_3	489444	494972	1846.1	1318
EOG092602MO	Complete	scaffold_6	89674	94452	627.2	746
EOG092602OP	Complete	scaffold_8	204088	208452	975.1	921
EOG092602UY	Complete	scaffold_4	165466	171276	1548.8	1259
EOG09260375	Complete	scaffold_6	328457	332863	1189.1	1015
EOG092603D0	Complete	scaffold_8	236878	241056	1540.4	1067
EOG092603EH	Complete	scaffold_2	146388	151226	1255.1	839
EOG092603JK	Complete	scaffold_5	124128	129017	608.7	985
EOG092603KJ	Complete	scaffold_1	894341	897741	1033.3	712
EOG092603SM	Fragmented	scaffold_5	468944	470392	133.1	265
EOG092603YJ	Complete	scaffold_2	696535	701724	1177.4	1381
EOG0926047G	Complete	scaffold_15	250955	255598	1654.6	1183
EOG09260492	Complete	scaffold_5	92170	96525	994.5	1039
EOG0926049A	Complete	scaffold_1	904052	908149	486.6	675
EOG0926049S	Complete	scaffold_6	208532	214075	749.4	841
EOG092604A0	Complete	scaffold_4	143520	147884	523.2	829
EOG092604I8	Complete	scaffold_15	256565	261319	763.7	764
EOG092604KQ	Complete	scaffold_9	443855	447928	737.5	929
EOG092604MJ	Complete	scaffold_30	55588	60498	697.7	1064
EOG092604ML	Complete	scaffold_11	45617	50668	589.2	981
EOG092604S1	Complete	scaffold_1	521835	525653	359.6	443
EOG092604ZZ	Complete	scaffold_2	497871	501683	572.2	739
EOG0926051U	Complete	scaffold_11	207724	213033	757.6	1072
EOG092605FC	Duplicated	scaffold_16	235147	239136	891.1	806
EOG092605FC	Duplicated	scaffold_6	573591	577618	902.1	815
EOG092605KN	Complete	scaffold_16	138430	141291	905.0	695
EOG092605OK	Complete	scaffold_1	915403	920397	1873.1	1288
EOG092605QM	Complete	scaffold_4	227256	232352	787.2	1000
EOG092605T6	Missing
EOG092605VL	Complete	scaffold_6	260000	264066	732.8	816
EOG092605VU	Complete	scaffold_12	280843	284505	271.6	762
EOG092605ZA	Complete	scaffold_16	246952	251235	258.6	670
EOG092606AD	Complete	scaffold_9	30886	32205	191.0	251
EOG092606AJ	Complete	scaffold_2	845149	848841	960.8	838
EOG092606CY	Complete	scaffold_21	49019	52573	1018.4	1139
EOG092606O3	Complete	scaffold_17	202304	206440	908.3	630
EOG092606UX	Complete	scaffold_13	64550	68725	761.1	910
EOG092606WZ	Complete	scaffold_6	73758	77696	961.6	1199
EOG0926071Q	Complete	scaffold_1	227273	230554	720.1	964
EOG0926073O	Complete	scaffold_6	362291	366577	1414.3	944
EOG0926074Y	Complete	scaffold_28	22532	26014	1436.8	949
EOG09260779	Complete	scaffold_3	5051	9349	954.0	1078
EOG0926077L	Complete	scaffold_9	235517	239386	253.0	467
EOG0926079Q	Complete	scaffold_20	50672	54205	1118.5	898
EOG092607OQ	Complete	scaffold_2	167386	171306	634.9	902
EOG092607QZ	Complete	scaffold_5	578426	581677	1029.7	723
EOG092607ZS	Complete	scaffold_24	60683	65089	1278.1	966
EOG092608AE	Complete	scaffold_18	65093	71794	1001.9	1066
EOG092608AV	Complete	scaffold_3	366234	369920	901.7	843
EOG092608C4	Complete	scaffold_5	195637	199713	1661.1	1024
EOG092608GK	Duplicated	scaffold_10	105806	109093	405.7	592
EOG092608GK	Duplicated	scaffold_17	140342	142900	393.9	473
EOG092608L0	Duplicated	scaffold_2	454038	460122	1542.6	911
EOG092608L0	Duplicated	scaffold_7	194543	198355	1511.7	928
EOG092608RH	Complete	scaffold_18	166006	169218	578.2	954
EOG092608T8	Complete	scaffold_2	815747	818662	1182.4	735
EOG092608WI	Complete	scaffold_1	932188	935145	534.9	520
EOG092608WU	Complete	scaffold_1	822784	828377	478.6	754
EOG092608ZS	Duplicated	scaffold_18	29443	32580	1120.7	839
EOG092608ZS	Duplicated	scaffold_2	108893	112057	1123.7	779
EOG0926092K	Complete	scaffold_22	88723	93758	1598.5	912
EOG09260931	Complete	scaffold_3	262770	265871	413.8	510
EOG092609JB	Complete	scaffold_3	420696	423704	778.9	676
EOG092609O9	Missing
EOG092609RF	Complete	scaffold_10	42122	46795	1295.4	985
EOG092609YT	Complete	scaffold_9	502306	505056	807.5	681
EOG09260A27	Complete	scaffold_5	71851	74622	730.7	541
EOG09260A6Q	Complete	scaffold_15	64728	68801	643.8	707
EOG09260A98	Complete	scaffold_4	740412	744233	697.1	889
EOG09260ABY	Complete	scaffold_17	106815	110069	1488.9	955
EOG09260AEC	Complete	scaffold_5	33190	35313	624.7	469
EOG09260APA	Missing
EOG09260AQB	Complete	scaffold_1	249801	252806	1286.8	792
