# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/P.pastoris_GS115/predict_misc/busco.evm.proteins.fa -o p.pastoris_gs115_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m proteins -c 28 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Complete	evm.model.scaffold_1.88	2604.3	2737
EOG09260075	Complete	evm.model.scaffold_1.99	2059.4	2051
EOG0926009O	Missing
EOG092600NM	Missing
EOG092600S9	Missing
EOG092600SD	Complete	evm.model.scaffold_2.232	898.9	1242
EOG092600SK	Complete	evm.model.scaffold_4.97	997.4	1090
EOG092600T4	Complete	evm.model.scaffold_1.224	3109.1	1814
EOG092600T9	Complete	evm.model.scaffold_3.218	3102.2	1758
EOG092600W1	Complete	evm.model.scaffold_1.12	2472.8	1636
EOG092600X0	Missing
EOG092600XJ	Complete	evm.model.scaffold_2.63	1280.1	1295
EOG092601KZ	Complete	evm.model.scaffold_4.86	1286.4	842
EOG092601YK	Complete	evm.model.scaffold_4.25	1385.8	1557
EOG0926025H	Complete	evm.model.scaffold_1.229	279.0	554
EOG09260274	Complete	evm.model.scaffold_1.330	530.8	770
EOG09260289	Complete	evm.model.scaffold_2.233	738.6	771
EOG092602BZ	Complete	evm.model.scaffold_1.299	2428.5	1443
EOG092602FH	Complete	evm.model.scaffold_2.179	1108.2	925
EOG092602I6	Complete	evm.model.scaffold_2.290	1806.5	1284
EOG092602MO	Complete	evm.model.scaffold_1.26	568.0	663
EOG092602OP	Complete	evm.model.scaffold_3.4	953.0	975
EOG092602UY	Complete	evm.model.scaffold_1.232	1514.6	1194
EOG09260375	Complete	evm.model.scaffold_2.221	1123.2	905
EOG092603D0	Complete	evm.model.scaffold_1.192	1527.8	1079
EOG092603EH	Complete	evm.model.scaffold_1.49	1203.9	869
EOG092603JK	Missing
EOG092603KJ	Complete	evm.model.scaffold_3.147	1006.8	695
EOG092603SM	Missing
EOG092603YJ	Complete	evm.model.scaffold_3.12	1076.4	1258
EOG0926047G	Complete	evm.model.scaffold_3.231	1647.6	1146
EOG09260492	Complete	evm.model.scaffold_4.73	914.0	1025
EOG0926049A	Complete	evm.model.scaffold_3.199	369.2	629
EOG0926049S	Complete	evm.model.scaffold_1.161	798.2	846
EOG092604A0	Missing
EOG092604I8	Complete	evm.model.scaffold_1.29	753.1	757
EOG092604KQ	Missing
EOG092604MJ	Complete	evm.model.scaffold_2.8	510.0	962
EOG092604ML	Complete	evm.model.scaffold_2.241	461.0	905
EOG092604S1	Complete	evm.model.scaffold_3.21	344.2	396
EOG092604ZZ	Complete	evm.model.scaffold_3.151	462.7	712
EOG0926051U	Complete	evm.model.scaffold_2.296	666.5	931
EOG092605FC	Complete	evm.model.scaffold_1.228	935.6	820
EOG092605KN	Complete	evm.model.scaffold_1.76	927.0	685
EOG092605OK	Complete	evm.model.scaffold_2.213	1810.7	1236
EOG092605QM	Missing
EOG092605T6	Missing
EOG092605VL	Complete	evm.model.scaffold_1.110	579.6	811
EOG092605VU	Complete	evm.model.scaffold_1.82	217.4	547
EOG092605ZA	Complete	evm.model.scaffold_1.97	210.4	454
EOG092606AD	Complete	evm.model.scaffold_4.199	130.4	182
EOG092606AJ	Complete	evm.model.scaffold_4.2	938.5	790
EOG092606CY	Complete	evm.model.scaffold_2.11	950.0	1196
EOG092606O3	Complete	evm.model.scaffold_2.97	912.5	662
EOG092606UX	Complete	evm.model.scaffold_4.32	785.6	905
EOG092606WZ	Complete	evm.model.scaffold_1.292	872.0	1099
EOG0926071Q	Complete	evm.model.scaffold_1.106	604.7	961
EOG0926073O	Complete	evm.model.scaffold_3.77	1065.3	842
EOG0926074Y	Complete	evm.model.scaffold_1.119	1444.5	990
EOG09260779	Complete	evm.model.scaffold_2.204	799.7	1079
