!! Predictions spanning range 2085 - 19042 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 20.14 2085-2609 orient(+) score(1499.00) noncoding_equivalent(74.44) raw_noncoding(74.44) offset(0.00) 
2085	2609	single+	1	3	{GlimmerHMM_glimmerT_5102-T1;GlimmerHMM},{Augustus_model.g4501.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 16.03 2634-4892 orient(-) score(6378.00) noncoding_equivalent(397.91) raw_noncoding(397.91) offset(0.00) 
4892	2634	single-	4	6	{GlimmerHMM_glimmerT_5103-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 9.98 5166-5846 orient(-) score(1857.00) noncoding_equivalent(186.03) raw_noncoding(186.03) offset(0.00) 
5846	5166	single-	4	6	{GlimmerHMM_glimmerT_5104-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 6.32 6449-9357 orient(+) score(7372.00) noncoding_equivalent(1167.00) raw_noncoding(1444.00) offset(277.00) 
6449	8190	initial+	1	2	{Augustus_model.g4503.t1;Augustus}
8191	8310	INTRON			{Augustus_model.g4503.t1;Augustus}
8311	9285	internal+	3	2	{Augustus_model.g4503.t1;Augustus}
9286	9353	INTRON			{Augustus_model.g4503.t1;Augustus}
9354	9357	terminal+	3	3	{Augustus_model.g4503.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 91.19 9397-10884 orient(-) score(4412.00) noncoding_equivalent(48.38) raw_noncoding(48.38) offset(0.00) 
10884	9397	single-	4	6	{GlimmerHMM_glimmerT_5108-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 8.39 12110-12868 orient(-) score(2033.00) noncoding_equivalent(242.36) raw_noncoding(242.36) offset(0.00) 
12868	12110	single-	4	6	{GlimmerHMM_glimmerT_5109-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.47 18298-19042 orient(-) score(1169.00) noncoding_equivalent(794.04) raw_noncoding(1163.07) offset(369.04) 
18352	18298	terminal-	6	6	{Augustus_model.g4505.t1;Augustus}
18529	18353	INTRON			{Augustus_model.g4505.t1;Augustus}
18687	18530	internal-	4	5	{Augustus_model.g4505.t1;Augustus}
18767	18688	INTRON			{Augustus_model.g4505.t1;Augustus}
19042	18768	internal-	5	6	{Augustus_model.g4505.t1;Augustus}

