!! Predictions spanning range 1750 - 93754 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 1750-3579 orient(-) score(3660.00) noncoding_equivalent(0.37) raw_noncoding(0.00) offset(0.00) 
3579	1750	single-	4	6	{Augustus_gene146.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 34516-35677 orient(-) score(2324.00) noncoding_equivalent(0.23) raw_noncoding(0.00) offset(0.00) 
34596	34516	terminal-	4	6	{Augustus_gene182.t1;Augustus}
34718	34597	INTRON			{Augustus_gene182.t1;Augustus}
34727	34719	internal-	4	6	{Augustus_gene182.t1;Augustus}
35100	34728	INTRON			{Augustus_gene182.t1;Augustus}
35469	35101	internal-	4	6	{Augustus_gene182.t1;Augustus}
35626	35470	INTRON			{Augustus_gene182.t1;Augustus}
35677	35627	initial-	4	6	{Augustus_gene182.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 40612-41778 orient(+) score(2334.00) noncoding_equivalent(0.23) raw_noncoding(0.00) offset(0.00) 
40612	41778	single+	1	3	{Augustus_gene369.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 79140-80204 orient(+) score(2130.00) noncoding_equivalent(0.21) raw_noncoding(0.00) offset(0.00) 
79140	80204	single+	1	3	{Augustus_gene133.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 92468-93754 orient(+) score(2574.00) noncoding_equivalent(0.26) raw_noncoding(0.00) offset(0.00) 
92468	93754	single+	1	3	{Augustus_gene34.t1;Augustus}

