!! Predictions spanning range 15051 - 96188 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 15051-18122 orient(+) score(6144.00) noncoding_equivalent(0.61) raw_noncoding(0.00) offset(0.00) 
15051	18122	single+	1	3	{Augustus_gene932.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 25135-25638 orient(-) score(1008.00) noncoding_equivalent(0.10) raw_noncoding(0.00) offset(0.00) 
25638	25135	single-	4	6	{Augustus_gene568.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 25969-32817 orient(-) score(13698.00) noncoding_equivalent(1.37) raw_noncoding(0.00) offset(0.00) 
28040	25969	terminal-	5	6	{Augustus_gene1195.t1;Augustus}
29549	28041	INTRON			{Augustus_gene1195.t1;Augustus}
29579	29550	internal-	5	4	{Augustus_gene1195.t1;Augustus}
30160	29580	INTRON			{Augustus_gene1195.t1;Augustus}
30200	30161	internal-	4	4	{Augustus_gene1195.t1;Augustus}
31404	30201	INTRON			{Augustus_gene1195.t1;Augustus}
31454	31405	internal-	5	6	{Augustus_gene1195.t1;Augustus}
31786	31455	INTRON			{Augustus_gene1195.t1;Augustus}
31800	31787	internal-	6	4	{Augustus_gene1195.t1;Augustus}
32258	31801	INTRON			{Augustus_gene1195.t1;Augustus}
32288	32259	internal-	6	5	{Augustus_gene1195.t1;Augustus}
32691	32289	INTRON			{Augustus_gene1195.t1;Augustus}
32725	32692	internal-	5	5	{Augustus_gene1195.t1;Augustus}
32771	32726	INTRON			{Augustus_gene1195.t1;Augustus}
32817	32772	initial-	4	4	{Augustus_gene1195.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 57184-57773 orient(+) score(1180.00) noncoding_equivalent(0.12) raw_noncoding(0.00) offset(0.00) 
57184	57248	initial+	1	2	{Augustus_gene278.t1;Augustus}
57249	57330	INTRON			{Augustus_gene278.t1;Augustus}
57331	57714	internal+	3	2	{Augustus_gene278.t1;Augustus}
57715	57760	INTRON			{Augustus_gene278.t1;Augustus}
57761	57773	terminal+	3	3	{Augustus_gene278.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 60822-64353 orient(-) score(7064.00) noncoding_equivalent(0.71) raw_noncoding(0.00) offset(0.00) 
60862	60822	terminal-	5	6	{Augustus_gene652.t1;Augustus}
61381	60863	INTRON			{Augustus_gene652.t1;Augustus}
61504	61382	internal-	5	4	{Augustus_gene652.t1;Augustus}
61552	61505	INTRON			{Augustus_gene652.t1;Augustus}
62198	61553	internal-	4	4	{Augustus_gene652.t1;Augustus}
64002	62199	INTRON			{Augustus_gene652.t1;Augustus}
64353	64003	initial-	4	6	{Augustus_gene652.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 69357-70049 orient(-) score(1386.00) noncoding_equivalent(0.14) raw_noncoding(0.00) offset(0.00) 
70049	69357	single-	4	6	{Augustus_gene870.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 84323-85306 orient(-) score(1968.00) noncoding_equivalent(0.20) raw_noncoding(0.00) offset(0.00) 
85306	84323	single-	4	6	{Augustus_gene427.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 95286-96188 orient(-) score(1806.00) noncoding_equivalent(0.18) raw_noncoding(0.00) offset(0.00) 
96188	95286	single-	4	6	{Augustus_gene574.t1;Augustus}

