# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/S.cerevisiae_S288C/predict_misc/genome.softmasked.fa -o s.cerevisiae_s288c_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m genome -c 28 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0926004Z	Fragmented	scaffold_4	349007	351712	481.1	765
EOG09260075	Fragmented	scaffold_4	54210	55043	360.9	251
EOG0926009O	Missing
EOG092600NM	Missing
EOG092600S9	Missing
EOG092600SD	Complete	scaffold_7	507111	512768	1072.8	1211
EOG092600SK	Complete	scaffold_14	280600	286440	1086.3	1065
EOG092600T4	Complete	scaffold_8	654676	661377	3208.5	1832
EOG092600T9	Complete	scaffold_1	149204	155641	3043.3	1741
EOG092600W1	Complete	scaffold_8	148216	154881	2476.5	1694
EOG092600X0	Complete	scaffold_15	184490	191326	1181.1	1063
EOG092600XJ	Complete	scaffold_3	925245	930818	1355.9	1208
EOG092601KZ	Complete	scaffold_5	246989	250261	1312.2	837
EOG092601YK	Complete	scaffold_13	106107	113237	1653.9	1570
EOG0926025H	Complete	scaffold_10	411262	416556	377.2	582
EOG09260274	Complete	scaffold_6	763350	768038	604.7	750
EOG09260289	Complete	scaffold_14	201170	205390	745.4	731
EOG092602BZ	Complete	scaffold_3	102547	107508	2411.0	1443
EOG092602FH	Complete	scaffold_5	232592	237106	1206.3	977
EOG092602I6	Complete	scaffold_5	398477	404005	1848.7	1310
EOG092602MO	Complete	scaffold_8	191325	196103	627.2	746
EOG092602OP	Complete	scaffold_7	436945	441309	972.3	921
EOG092602UY	Complete	scaffold_1	796191	802001	1549.5	1259
EOG09260375	Complete	scaffold_8	430089	434495	1198.0	962
EOG092603D0	Complete	scaffold_7	469742	473920	1540.9	1067
EOG092603EH	Complete	scaffold_6	153219	158057	1253.5	838
EOG092603JK	Complete	scaffold_3	682570	687459	612.8	795
EOG092603KJ	Complete	scaffold_2	940060	943460	1031.0	711
EOG092603SM	Fragmented	scaffold_3	321785	323233	132.2	253
EOG092603YJ	Complete	scaffold_6	725933	731122	1175.1	1380
EOG0926047G	Complete	scaffold_9	678947	683590	1656.6	1160
EOG09260492	Complete	scaffold_3	720413	724768	994.3	1039
EOG0926049A	Complete	scaffold_2	949770	953867	485.7	675
EOG0926049S	Complete	scaffold_8	310249	315918	746.0	832
EOG092604A0	Complete	scaffold_1	821410	825774	523.7	829
EOG092604I8	Complete	scaffold_9	684171	689311	764.5	764
EOG092604KQ	Complete	scaffold_1	1063349	1067422	737.7	929
EOG092604MJ	Complete	scaffold_8	71673	76583	700.8	1061
EOG092604ML	Complete	scaffold_9	368742	373793	589.2	981
EOG092604S1	Complete	scaffold_2	554825	558643	359.5	443
EOG092604ZZ	Complete	scaffold_6	527803	531816	571.9	737
EOG0926051U	Complete	scaffold_9	211995	217304	755.7	1071
EOG092605FC	Duplicated	scaffold_14	242585	246580	890.9	805
EOG092605FC	Duplicated	scaffold_8	680697	684724	902.6	815
EOG092605KN	Complete	scaffold_14	144771	147632	905.8	691
EOG092605OK	Complete	scaffold_2	960984	965978	1874.6	1289
EOG092605QM	Complete	scaffold_1	734899	739995	786.7	999
EOG092605T6	Missing
EOG092605VL	Complete	scaffold_8	361653	365719	729.4	816
EOG092605VU	Complete	scaffold_4	296590	300252	269.7	737
EOG092605ZA	Complete	scaffold_14	254368	258651	258.6	669
EOG092606AD	Complete	scaffold_1	1491087	1492406	191.8	246
EOG092606AJ	Complete	scaffold_6	874986	878678	963.1	809
EOG092606CY	Complete	scaffold_15	119547	123101	1017.7	1139
EOG092606O3	Complete	scaffold_3	1027376	1031515	906.1	700
EOG092606UX	Complete	scaffold_11	367834	372009	759.3	914
EOG092606WZ	Complete	scaffold_8	175411	179349	962.0	1252
EOG0926071Q	Complete	scaffold_2	259924	263205	720.5	968
EOG0926073O	Complete	scaffold_8	457706	461992	1416.2	944
EOG0926074Y	Complete	scaffold_1	194572	198054	1436.1	949
EOG09260779	Complete	scaffold_5	912660	916958	954.5	1078
EOG0926077L	Complete	scaffold_1	1284062	1287931	254.6	468
EOG0926079Q	Complete	scaffold_4	683674	687204	1118.6	893
EOG092607OQ	Complete	scaffold_6	174220	178155	630.5	903
EOG092607QZ	Complete	scaffold_3	210421	213672	1028.6	723
EOG092607ZS	Complete	scaffold_11	505387	509793	1274.4	970
EOG092608AE	Complete	scaffold_4	993431	1000126	1001.9	1067
EOG092608AV	Complete	scaffold_5	529720	533406	900.4	844
EOG092608C4	Complete	scaffold_3	611893	615969	1661.0	1024
EOG092608GK	Duplicated	scaffold_12	413688	417182	405.6	592
EOG092608GK	Duplicated	scaffold_3	966044	968602	393.5	472
EOG092608L0	Complete	scaffold_6	484161	490245	1542.6	911
EOG092608RH	Complete	scaffold_4	885420	888632	573.3	940
EOG092608T8	Complete	scaffold_6	845570	848485	1182.0	735
EOG092608WI	Complete	scaffold_2	981825	984782	533.2	519
EOG092608WU	Complete	scaffold_2	868546	874137	477.9	755
EOG092608ZS	Duplicated	scaffold_4	1032624	1035761	1120.3	840
EOG092608ZS	Duplicated	scaffold_6	115734	118898	1126.0	779
EOG0926092K	Complete	scaffold_7	81041	86074	1598.5	912
EOG09260931	Complete	scaffold_5	634120	637221	413.1	510
EOG092609JB	Complete	scaffold_5	475990	478998	780.0	676
EOG092609O9	Missing
EOG092609RF	Complete	scaffold_12	475999	480672	1299.8	974
EOG092609YT	Complete	scaffold_1	1005936	1008686	811.2	681
EOG09260A27	Complete	scaffold_3	742669	745440	730.4	540
EOG09260A6Q	Complete	scaffold_9	492370	496443	643.6	707
EOG09260A98	Complete	scaffold_1	107209	111030	695.9	889
EOG09260ABY	Complete	scaffold_3	932544	935798	1488.9	955
EOG09260AEC	Complete	scaffold_3	781772	783895	624.7	469
EOG09260APA	Missing
EOG09260AQB	Complete	scaffold_2	282422	285427	1289.3	792
EOG09260AZA	Complete	scaffold_13	122689	125733	1531.6	844
EOG09260AZK	Complete	scaffold_5	506695	509997	757.8	677
EOG09260AZM	Complete	scaffold_13	261721	264891	1389.5	823
EOG09260B3H	Complete	scaffold_3	1007677	1010772	614.8	449
EOG09260B3X	Complete	scaffold_7	676352	679216	945.7	677
EOG09260B65	Complete	scaffold_10	50052	53354	472.6	713
EOG09260BFE	Complete	scaffold_8	467133	469625	374.4	482
EOG09260BL6	Complete	scaffold_3	1039902	1043102	573.8	537
EOG09260BRA	Complete	scaffold_3	84884	87301	614.3	385
EOG09260BSW	Complete	scaffold_8	326743	330075	988.9	671
EOG09260BYL	Complete	scaffold_6	206428	208860	1014.8	560
EOG09260BZ0	Complete	scaffold_12	252376	255651	698.1	707
EOG09260C2V	Complete	scaffold_16	58696	61053	633.9	691
EOG09260C5W	Complete	scaffold_9	41389	47433	879.4	1170
EOG09260CKC	Complete	scaffold_1	22823	25876	681.4	663
EOG09260CMZ	Complete	scaffold_3	586396	589473	519.6	637
EOG09260DBG	Complete	scaffold_6	637499	640603	1218.3	772
EOG09260DFH	Complete	scaffold_2	132725	135838	874.4	821
EOG09260DFJ	Complete	scaffold_13	296049	300008	437.1	591
EOG09260DP1	Complete	scaffold_1	640107	643835	1093.6	771
EOG09260DUR	Complete	scaffold_5	725392	728613	486.5	501
EOG09260DUW	Complete	scaffold_5	313387	316485	601.6	689
EOG09260DXP	Complete	scaffold_1	1039725	1042958	895.1	752
EOG09260E2O	Complete	scaffold_14	220453	223224	1105.1	685
EOG09260E8K	Complete	scaffold_1	70641	73919	1076.0	814
EOG09260EAZ	Complete	scaffold_2	49554	52775	626.5	834
EOG09260EE7	Complete	scaffold_4	399658	402489	963.4	714
EOG09260EOI	Complete	scaffold_16	143709	147533	370.9	794
EOG09260EPQ	Complete	scaffold_2	147382	150276	892.2	622
EOG09260EPS	Complete	scaffold_10	592467	595940	151.9	368
EOG09260EQD	Complete	scaffold_1	604006	606984	278.0	399
EOG09260ERO	Complete	scaffold_10	39164	42238	1480.7	883
EOG09260ETR	Complete	scaffold_8	375323	378493	1413.3	833
EOG09260EZT	Complete	scaffold_3	802475	805054	549.5	551
EOG09260FFP	Complete	scaffold_4	161754	163892	258.2	185
EOG09260FKU	Complete	scaffold_4	395759	397765	229.1	326
EOG09260FL2	Complete	scaffold_5	467257	469653	602.2	692
EOG09260FMW	Complete	scaffold_4	937626	940979	1109.5	704
EOG09260FPA	Complete	scaffold_11	343316	347341	757.2	777
EOG09260FX0	Complete	scaffold_3	662362	666075	673.4	789
EOG09260FZZ	Complete	scaffold_6	733544	736633	543.2	685
EOG09260GF5	Complete	scaffold_5	90622	95109	739.0	1018
EOG09260GIX	Complete	scaffold_5	35578	37845	430.4	455
EOG09260GKG	Complete	scaffold_1	937892	940813	1181.9	796
EOG09260GOF	Complete	scaffold_9	591882	594319	432.7	336
EOG09260GR8	Complete	scaffold_4	235038	237704	389.1	575
EOG09260H6E	Complete	scaffold_6	466299	468161	309.2	262
EOG09260H81	Complete	scaffold_8	122883	126599	414.2	608
EOG09260HMA	Complete	scaffold_4	823827	826412	1104.1	781
EOG09260HPO	Complete	scaffold_2	946230	949106	1312.1	789
EOG09260HS3	Complete	scaffold_4	434642	437398	602.4	749
EOG09260HSP	Complete	scaffold_13	80510	83041	1067.6	597
EOG09260IU8	Complete	scaffold_3	45445	48459	355.4	596
EOG09260J53	Complete	scaffold_9	698316	700604	909.5	589
EOG09260J8F	Complete	scaffold_8	202429	204873	696.5	460
EOG09260J97	Complete	scaffold_1	378871	381435	645.5	528
EOG09260JDM	Complete	scaffold_2	361595	363814	323.2	300
EOG09260JED	Complete	scaffold_12	161723	164704	1116.3	739
EOG09260JJW	Missing
EOG09260JNY	Complete	scaffold_6	842435	846027	260.5	394
EOG09260JO5	Complete	scaffold_4	888851	892849	971.5	823
EOG09260JPV	Complete	scaffold_10	296074	298719	566.1	647
EOG09260JT9	Complete	scaffold_3	117858	120911	1151.2	686
EOG09260JTZ	Complete	scaffold_8	91994	94801	1031.6	783
EOG09260K24	Complete	scaffold_2	1015359	1017533	732.1	587
EOG09260K29	Complete	scaffold_4	847387	849123	324.2	275
EOG09260K4B	Complete	scaffold_3	690249	693101	697.5	521
EOG09260K4V	Complete	scaffold_3	98973	102080	974.9	767
EOG09260K5F	Complete	scaffold_13	233054	235471	465.1	586
EOG09260KCB	Complete	scaffold_8	549470	551989	338.2	454
EOG09260KCW	Complete	scaffold_9	411227	413392	986.6	570
EOG09260KDB	Complete	scaffold_10	137937	140696	947.8	737
EOG09260KGS	Complete	scaffold_10	375099	378215	394.5	564
EOG09260KIY	Complete	scaffold_13	268737	270572	546.3	364
EOG09260KM4	Complete	scaffold_6	494998	496281	242.7	252
EOG09260KNI	Complete	scaffold_6	741511	742734	310.4	289
EOG09260KNR	Complete	scaffold_10	484787	487015	558.9	443
EOG09260KUC	Complete	scaffold_2	738925	741456	833.0	571
EOG09260KWP	Complete	scaffold_8	34695	37421	730.4	536
EOG09260LBU	Complete	scaffold_11	339860	342163	1076.9	660
EOG09260LI6	Complete	scaffold_14	276761	279817	694.7	667
EOG09260LJ8	Complete	scaffold_8	165089	167098	510.3	479
EOG09260LRX	Complete	scaffold_1	1117122	1120229	532.2	571
EOG09260LS9	Complete	scaffold_16	169370	170290	370.0	238
EOG09260LVD	Complete	scaffold_6	295178	296737	210.0	324
EOG09260M44	Complete	scaffold_11	48471	51539	325.3	605
EOG09260M87	Complete	scaffold_4	893628	896270	739.4	569
EOG09260MBW	Complete	scaffold_4	377779	380565	405.5	480
EOG09260MRU	Complete	scaffold_2	313079	315388	935.5	625
EOG09260N2T	Complete	scaffold_6	422502	424727	386.8	528
EOG09260N53	Complete	scaffold_1	34238	36478	545.8	524
EOG09260NAN	Complete	scaffold_4	274142	278600	188.9	362
EOG09260NC6	Complete	scaffold_7	398608	400821	869.0	553
EOG09260NE0	Complete	scaffold_5	203420	204940	119.5	136
EOG09260NHB	Complete	scaffold_6	703578	706886	305.7	677
EOG09260NHN	Complete	scaffold_7	14241	17696	1155.6	791
EOG09260NJW	Complete	scaffold_13	217860	220697	979.0	718
EOG09260NNR	Complete	scaffold_7	466800	469614	904.4	546
EOG09260NWN	Complete	scaffold_1	118708	121593	759.8	726
EOG09260NXC	Complete	scaffold_6	247707	250868	583.0	549
EOG09260NXJ	Complete	scaffold_9	50629	53151	604.6	674
EOG09260NY2	Complete	scaffold_3	59122	61854	439.9	560
EOG09260NZ8	Complete	scaffold_2	329522	331052	529.7	387
EOG09260OCI	Complete	scaffold_1	316971	320120	258.9	443
EOG09260OE9	Complete	scaffold_4	628686	633392	530.4	748
EOG09260OLB	Complete	scaffold_8	447613	449376	263.3	277
EOG09260OM6	Complete	scaffold_15	162482	164740	1069.0	672
EOG09260OQ8	Complete	scaffold_3	49552	53194	854.9	724
EOG09260OZU	Complete	scaffold_6	784620	788882	541.2	897
EOG09260P2K	Complete	scaffold_12	258246	261374	561.5	547
EOG09260P5R	Complete	scaffold_11	293048	294811	304.0	205
EOG09260PI1	Complete	scaffold_6	517977	520445	389.7	433
EOG09260PJ9	Complete	scaffold_1	479113	482265	394.7	306
EOG09260QNB	Complete	scaffold_8	512670	514937	658.0	576
EOG09260QVP	Complete	scaffold_14	44623	46905	282.9	349
EOG09260R84	Complete	scaffold_13	304475	307927	247.1	370
EOG09260R9L	Complete	scaffold_4	74269	76746	282.3	410
EOG09260RGH	Complete	scaffold_7	586542	589109	605.9	517
EOG09260RNZ	Complete	scaffold_6	629408	631969	375.8	526
EOG09260RRC	Complete	scaffold_4	697158	699497	848.9	580
EOG09260RRN	Complete	scaffold_7	177877	182097	1188.5	746
EOG09260RS7	Complete	scaffold_1	884725	886863	578.1	504
EOG09260RVQ	Complete	scaffold_8	383989	386850	338.4	439
EOG09260S2Z	Complete	scaffold_5	799230	802013	418.2	571
EOG09260S3L	Complete	scaffold_14	250235	252625	326.3	417
EOG09260S5R	Complete	scaffold_10	394369	396447	506.2	414
EOG09260SAH	Complete	scaffold_7	501798	504281	491.1	486
EOG09260SIZ	Complete	scaffold_12	239100	241295	791.0	572
EOG09260SJV	Complete	scaffold_4	934412	937231	807.3	689
EOG09260SL3	Complete	scaffold_3	476318	478657	1064.4	597
EOG09260SR2	Complete	scaffold_13	113806	116904	511.2	697
EOG09260SRF	Complete	scaffold_10	242864	245017	1098.7	605
EOG09260T28	Complete	scaffold_9	131097	133931	693.9	626
EOG09260T4S	Complete	scaffold_5	176456	179020	542.9	485
EOG09260TDY	Complete	scaffold_1	1133256	1135427	224.0	358
EOG09260THV	Complete	scaffold_3	298181	299731	406.2	307
EOG09260TLW	Complete	scaffold_3	979770	982049	702.0	562
EOG09260TPT	Complete	scaffold_8	230985	233696	327.8	382
EOG09260TUT	Complete	scaffold_3	1019604	1021859	760.7	465
EOG09260TVA	Complete	scaffold_3	452409	454565	1054.9	593
EOG09260TWS	Duplicated	scaffold_1	450218	452299	917.5	570
EOG09260TWS	Duplicated	scaffold_7	238943	241021	898.2	569
EOG09260U6R	Complete	scaffold_7	209656	212178	700.4	574
EOG09260UA2	Complete	scaffold_7	576339	578081	596.0	395
EOG09260UJK	Complete	scaffold_3	236274	238124	292.9	380
EOG09260UXC	Complete	scaffold_8	45307	48021	527.7	515
EOG09260V5Q	Complete	scaffold_14	31449	33974	920.5	649
EOG09260V8Q	Complete	scaffold_11	469681	472419	312.2	309
EOG09260VCG	Complete	scaffold_5	834904	838888	277.9	281
EOG09260VEY	Complete	scaffold_1	1114431	1116689	422.8	512
EOG09260VHV	Complete	scaffold_3	1014327	1016756	505.2	547
EOG09260VTA	Complete	scaffold_4	260980	262767	744.0	494
EOG09260VTN	Complete	scaffold_8	19541	22633	686.9	468
EOG09260VYK	Complete	scaffold_10	442875	444581	647.0	446
EOG09260W52	Complete	scaffold_6	392754	394787	400.5	472
EOG09260W8D	Complete	scaffold_1	671267	673363	645.1	608
EOG09260W9L	Complete	scaffold_9	76802	79261	248.1	192
EOG09260WCZ	Complete	scaffold_1	494647	497010	397.9	543
EOG09260WG2	Complete	scaffold_8	247462	249810	579.1	528
EOG09260WGT	Complete	scaffold_16	110847	113360	619.6	441
EOG09260WU6	Complete	scaffold_7	40906	43092	364.9	369
EOG09260WUA	Complete	scaffold_6	17146	18810	322.6	391
EOG09260WUS	Complete	scaffold_4	495431	498046	560.7	668
EOG09260WYQ	Complete	scaffold_2	649304	651733	925.8	616
EOG09260XH5	Complete	scaffold_2	263482	265086	515.0	403
EOG09260XL0	Complete	scaffold_4	609785	611755	624.3	487
EOG09260XMI	Complete	scaffold_12	338086	339987	544.0	542
EOG09260XOG	Complete	scaffold_3	446417	448540	1012.4	587
EOG09260XQV	Complete	scaffold_5	469936	471993	536.3	444
EOG09260XSR	Complete	scaffold_7	153851	158392	256.2	331
EOG09260Y2Q	Complete	scaffold_5	742452	743741	423.4	328
EOG09260YMF	Complete	scaffold_9	383831	386143	837.4	570
EOG09260Z3X	Complete	scaffold_1	576472	578157	784.2	459
EOG09260Z5E	Complete	scaffold_2	633840	636758	683.8	732
EOG09260ZG2	Complete	scaffold_11	251727	253661	507.2	427
EOG09260ZWU	Complete	scaffold_11	527200	529413	1142.5	621
EOG09261031	Complete	scaffold_3	1002528	1003967	412.5	342
EOG092610KH	Complete	scaffold_8	640399	642384	681.3	445
EOG092610LP	Complete	scaffold_12	246195	248339	988.6	571
EOG092610LQ	Complete	scaffold_1	400995	402872	342.9	246
EOG092610QT	Complete	scaffold_5	917073	919037	326.3	386
EOG092610TN	Complete	scaffold_2	644567	646897	668.7	616
EOG092610VI	Complete	scaffold_6	523695	527498	1268.1	1013
EOG092610ZY	Complete	scaffold_16	76428	79436	1128.1	861
EOG09261127	Complete	scaffold_1	626706	628532	821.2	437
EOG0926112A	Complete	scaffold_7	395377	398271	701.7	812
EOG09261145	Duplicated	scaffold_3	739949	741667	827.5	473
EOG09261145	Duplicated	scaffold_5	822616	824334	827.0	476
EOG0926115P	Complete	scaffold_7	779747	782380	248.6	327
EOG0926115V	Complete	scaffold_1	444681	446381	145.4	201
EOG092611G7	Complete	scaffold_8	182915	185179	655.2	520
EOG092611HB	Complete	scaffold_6	68294	69700	376.4	302
EOG09261225	Complete	scaffold_1	126007	130003	939.9	504
EOG0926129I	Complete	scaffold_4	343990	345942	518.0	469
EOG092612AK	Complete	scaffold_9	388379	390847	412.0	493
EOG092612CC	Complete	scaffold_4	787664	789679	298.3	219
EOG092612J3	Complete	scaffold_9	272821	274692	266.0	430
EOG092612LP	Complete	scaffold_6	368093	370513	770.9	528
EOG092612MY	Complete	scaffold_4	77151	80204	731.8	711
EOG092612XD	Complete	scaffold_1	570647	573724	943.4	894
EOG0926131E	Complete	scaffold_2	715594	716838	537.2	280
EOG0926133I	Complete	scaffold_16	51856	54790	742.1	511
EOG0926137U	Complete	scaffold_4	617535	620162	697.3	602
EOG092613QA	Complete	scaffold_3	982487	984277	405.5	339
EOG092613R2	Complete	scaffold_6	870072	872585	576.1	529
EOG092613S3	Complete	scaffold_12	437172	439052	407.8	298
EOG092613UB	Complete	scaffold_6	640907	644576	559.9	403
EOG09261404	Complete	scaffold_7	212635	216369	489.7	457
EOG0926140Q	Complete	scaffold_1	713338	715377	928.3	528
EOG0926142H	Complete	scaffold_3	596697	598625	499.4	445
EOG0926142Y	Duplicated	scaffold_2	878433	880673	543.9	524
EOG0926142Y	Duplicated	scaffold_6	743748	745922	537.8	524
EOG0926146A	Complete	scaffold_15	65475	68696	715.7	525
EOG09261476	Complete	scaffold_7	401247	405245	441.1	425
EOG092614DJ	Complete	scaffold_5	493541	495244	354.1	309
EOG092614E6	Complete	scaffold_11	223366	225198	873.9	479
EOG092614O9	Complete	scaffold_13	357669	360393	645.0	520
EOG092614UB	Complete	scaffold_4	251273	253081	427.9	319
EOG092614ZG	Complete	scaffold_12	81960	83537	331.2	345
EOG0926158Y	Complete	scaffold_2	326833	329034	394.8	376
EOG092615CC	Complete	scaffold_1	184690	187919	641.7	459
EOG092615IE	Complete	scaffold_6	594885	597194	633.3	532
EOG092615SM	Complete	scaffold_1	341619	343985	672.4	583
EOG092615Y4	Complete	scaffold_12	488584	490396	563.2	383
EOG09261660	Complete	scaffold_10	207891	209774	428.4	413
EOG09261666	Complete	scaffold_1	203040	205112	386.3	445
EOG092616QN	Complete	scaffold_6	892987	895425	622.8	547
EOG092616YZ	Duplicated	scaffold_5	350191	352272	1043.1	660
EOG092616YZ	Duplicated	scaffold_7	573910	575991	1011.1	659
EOG09261727	Complete	scaffold_8	588265	591162	343.6	663
EOG092617AN	Complete	scaffold_5	139619	143170	1228.0	803
EOG092617RN	Duplicated	scaffold_1	44066	45907	1084.1	572
EOG092617RN	Duplicated	scaffold_8	252060	253901	1086.2	572
EOG092617RY	Complete	scaffold_6	838186	839994	245.0	346
EOG092617S2	Complete	scaffold_10	404833	406884	532.2	490
EOG09261801	Complete	scaffold_1	1303167	1305065	330.0	336
EOG092618J9	Complete	scaffold_5	130161	132227	380.5	376
EOG092618M2	Complete	scaffold_5	631512	633758	341.3	288
EOG092618UZ	Complete	scaffold_13	61013	62728	221.3	277
EOG0926195C	Complete	scaffold_1	907336	909435	215.3	325
EOG092619EA	Complete	scaffold_2	1007261	1009114	675.8	440
EOG092619GP	Complete	scaffold_4	316108	317952	391.4	382
EOG092619L1	Complete	scaffold_6	451631	453478	414.8	402
EOG092619MJ	Complete	scaffold_1	838390	840390	585.1	467
EOG092619NK	Complete	scaffold_5	370975	372918	897.5	546
EOG092619RJ	Fragmented	scaffold_13	78206	80149	560.1	554
EOG092619VG	Complete	scaffold_10	371472	373748	369.1	404
EOG09261A3K	Complete	scaffold_8	188052	190958	977.0	755
EOG09261ABB	Complete	scaffold_9	633605	635699	492.2	424
EOG09261ACJ	Complete	scaffold_6	478300	480189	253.8	437
EOG09261AH9	Complete	scaffold_16	124880	126787	634.3	490
EOG09261AMX	Duplicated	scaffold_3	668394	669911	609.7	385
EOG09261AMX	Duplicated	scaffold_5	747304	748998	620.1	396
EOG09261B14	Complete	scaffold_9	102221	104422	446.0	444
EOG09261B18	Complete	scaffold_1	345665	351037	498.5	812
EOG09261B3Q	Complete	scaffold_10	31961	34108	454.6	467
