# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/C.albicans_SC5314/predict_misc/busco.evm.proteins.fa -o c.albicans_sc5314_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m proteins -c 28 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Missing
EOG09260075	Missing
EOG0926009O	Complete	evm.model.scaffold_7.48	1413.6	1820
EOG092600NM	Complete	evm.model.scaffold_2.152	3778.4	2031
EOG092600S9	Missing
EOG092600SD	Complete	evm.model.scaffold_6.68	1030.2	1222
EOG092600SK	Complete	evm.model.scaffold_7.65	1028.8	1130
EOG092600T4	Complete	evm.model.scaffold_2.16	3239.2	1785
EOG092600T9	Complete	evm.model.scaffold_1.135	3152.2	1722
EOG092600W1	Complete	evm.model.scaffold_2.125	2556.9	1721
EOG092600X0	Complete	evm.model.scaffold_3.38	1028.0	1032
EOG092600XJ	Complete	evm.model.scaffold_1.24	1386.2	1216
EOG092601KZ	Complete	evm.model.scaffold_2.40	1314.2	840
EOG092601YK	Complete	evm.model.scaffold_4.22	1503.6	1570
EOG0926025H	Complete	evm.model.scaffold_1.156	307.1	532
EOG09260274	Missing
EOG09260289	Complete	evm.model.scaffold_7.68	797.0	768
EOG092602BZ	Complete	evm.model.scaffold_7.33	2415.1	1444
EOG092602FH	Complete	evm.model.scaffold_4.90	1137.3	962
EOG092602I6	Complete	evm.model.scaffold_3.87	1823.0	1273
EOG092602MO	Complete	evm.model.scaffold_3.120	580.6	706
EOG092602OP	Complete	evm.model.scaffold_7.21	854.0	905
EOG092602UY	Missing
EOG09260375	Complete	evm.model.scaffold_4.61	1174.5	921
EOG092603D0	Complete	evm.model.scaffold_1.66	1535.0	1073
EOG092603EH	Complete	evm.model.scaffold_2.147	1205.5	910
EOG092603JK	Missing
EOG092603KJ	Complete	evm.model.scaffold_7.25	973.5	702
EOG092603SM	Complete	evm.model.scaffold_2.170	307.3	502
EOG092603YJ	Complete	evm.model.scaffold_3.53	1129.3	1341
EOG0926047G	Complete	evm.model.scaffold_3.123	1694.0	1166
EOG09260492	Complete	evm.model.scaffold_8.85	938.2	1029
EOG0926049A	Complete	evm.model.scaffold_4.44	511.3	696
EOG0926049S	Complete	evm.model.scaffold_1.11	841.9	779
EOG092604A0	Complete	evm.model.scaffold_5.122	463.4	767
EOG092604I8	Complete	evm.model.scaffold_1.59	748.6	773
EOG092604KQ	Complete	evm.model.scaffold_5.37	719.2	945
EOG092604MJ	Complete	evm.model.scaffold_1.244	609.3	1031
EOG092604ML	Complete	evm.model.scaffold_2.2	445.8	911
EOG092604S1	Complete	evm.model.scaffold_2.107	338.6	460
EOG092604ZZ	Complete	evm.model.scaffold_3.10	468.1	766
EOG0926051U	Complete	evm.model.scaffold_1.262	734.1	1044
