All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Canalb1_AssemblyScaffolds  Picpa1_AssemblyScaffolds  Sacarb1_AssemblyScaffolds  Sacce1_AssemblyScaffolds  SacceM3707_1_AssemblyScaffolds_Repeatmasked  SacceM3836_1_AssemblyScaffolds  Saceu1_AssemblyScaffolds
# contigs (>= 0 bp)         8                          4                         16                         16                        42                                           52                              23                      
# contigs (>= 1000 bp)      8                          4                         16                         16                        42                                           52                              23                      
# contigs (>= 5000 bp)      8                          4                         16                         16                        32                                           41                              19                      
# contigs (>= 10000 bp)     8                          4                         16                         16                        28                                           36                              17                      
# contigs (>= 25000 bp)     8                          4                         16                         16                        27                                           33                              16                      
# contigs (>= 50000 bp)     8                          4                         16                         16                        27                                           33                              16                      
Total length (>= 0 bp)      14282666                   9216378                   11486716                   12070898                  11509707                                     11532651                        11670174                
Total length (>= 1000 bp)   14282666                   9216378                   11486716                   12070898                  11509707                                     11532651                        11670174                
Total length (>= 5000 bp)   14282666                   9216378                   11486716                   12070898                  11486526                                     11505665                        11660356                
Total length (>= 10000 bp)  14282666                   9216378                   11486716                   12070898                  11460697                                     11472308                        11646682                
Total length (>= 25000 bp)  14282666                   9216378                   11486716                   12070898                  11449122                                     11422830                        11633487                
Total length (>= 50000 bp)  14282666                   9216378                   11486716                   12070898                  11449122                                     11422830                        11633487                
# contigs                   8                          4                         16                         16                        42                                           52                              23                      
Largest contig              3188341                    2798491                   1246548                    1531919                   1105016                                      1028389                         1274804                 
Total length                14282666                   9216378                   11486716                   12070898                  11509707                                     11532651                        11670174                
GC (%)                      33.46                      41.13                     38.82                      38.30                     38.24                                        38.25                           39.98                   
N50                         2231883                    2394163                   879294                     924429                    683473                                       573220                          896107                  
N75                         1603259                    2245428                   650640                     666454                    360974                                       299835                          741893                  
L50                         3                          2                         6                          6                         7                                            8                               6                       
L75                         5                          3                         10                         10                        13                                           15                              10                      
# N's per 100 kbp           57.31                      10.65                     1923.53                    0.00                      432.34                                       294.60                          1081.20                 
