# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/C.albicans_SC5314/predict_misc/genome.softmasked.fa -o c.albicans_sc5314_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m genome -c 28 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0926004Z	Missing
EOG09260075	Fragmented	scaffold_5	1342901	1346183	575.1	692
EOG0926009O	Complete	scaffold_7	621127	629748	1413.6	1820
EOG092600NM	Complete	scaffold_2	1864316	1871566	3778.4	2031
EOG092600S9	Missing
EOG092600SD	Complete	scaffold_6	902120	908023	1030.2	1222
EOG092600SK	Complete	scaffold_7	939854	945904	1028.8	1130
EOG092600T4	Complete	scaffold_2	155331	162011	3239.2	1785
EOG092600T9	Complete	scaffold_1	1398176	1404556	3152.2	1722
EOG092600W1	Complete	scaffold_2	1499481	1506116	2556.9	1721
EOG092600X0	Complete	scaffold_3	377896	385737	1028.0	1032
EOG092600XJ	Complete	scaffold_1	214523	220399	1386.2	1216
EOG092601KZ	Complete	scaffold_2	384286	387579	1314.2	840
EOG092601YK	Complete	scaffold_4	324804	332661	1503.6	1570
EOG0926025H	Complete	scaffold_1	1660186	1665874	307.1	532
EOG09260274	Missing
EOG09260289	Complete	scaffold_7	999224	1003501	797.0	768
EOG092602BZ	Complete	scaffold_7	437978	442984	2415.1	1444
EOG092602FH	Complete	scaffold_4	1380578	1385430	1137.3	962
EOG092602I6	Complete	scaffold_3	940812	946401	1823.0	1273
EOG092602MO	Complete	scaffold_3	1225302	1230872	580.7	706
EOG092602OP	Complete	scaffold_7	231035	236857	854.0	905
EOG092602UY	Missing
EOG09260375	Complete	scaffold_4	893246	897658	1174.5	921
EOG092603D0	Complete	scaffold_1	588902	593116	1535.0	1073
EOG092603EH	Complete	scaffold_2	1796429	1800589	1205.5	910
EOG092603JK	Missing
EOG092603KJ	Complete	scaffold_7	313717	317713	973.5	702
EOG092603SM	Complete	scaffold_2	2139765	2144084	307.3	502
EOG092603YJ	Complete	scaffold_3	509371	514539	1129.3	1341
EOG0926047G	Complete	scaffold_3	1255583	1259896	1694.0	1166
EOG09260492	Complete	scaffold_8	934944	939083	938.2	1029
EOG0926049A	Complete	scaffold_4	630423	634766	511.3	696
EOG0926049S	Complete	scaffold_1	96816	101423	841.9	779
EOG092604A0	Complete	scaffold_5	1590682	1596377	450.3	736
EOG092604I8	Complete	scaffold_1	545238	549395	748.6	773
EOG092604KQ	Complete	scaffold_5	488934	493196	719.3	945
EOG092604MJ	Complete	scaffold_1	2861151	2866055	609.4	1031
EOG092604ML	Complete	scaffold_2	56627	62170	445.8	911
EOG092604S1	Complete	scaffold_2	1251987	1255409	338.6	460
EOG092604ZZ	Complete	scaffold_3	70659	74444	468.1	766
EOG0926051U	Complete	scaffold_1	3099207	3104663	734.2	1044
EOG092605FC	Complete	scaffold_5	1071853	1075659	933.9	803
EOG092605KN	Complete	scaffold_2	307117	310785	881.8	756
EOG092605OK	Complete	scaffold_1	2364210	2369207	1853.4	1251
EOG092605QM	Complete	scaffold_6	458157	463659	696.0	983
EOG092605T6	Missing
EOG092605VL	Complete	scaffold_3	1017463	1021940	664.9	841
EOG092605VU	Complete	scaffold_1	2725383	2733526	226.3	630
